Category	Term	Counts	ListSize	PopHit	Pop.Size	Pvalue	Bonferroni	FDR	OverlappedID	Refs
Mutants	down by oga-1 (ok1207) mutant	75	143	500	29469	9.15E-78	2.1E-73	2.1E-73	"mlt-10,C14A4.9,C14F11.6,dpy-8,osr-1,C38C6.3,ptr-4,C49F8.3,C50D2.1,dpy-3,F01G10.9,spp-13,mlt-9,F09F9.2,col-128,atf-8,F18C5.5,F22F4.1,pqn-32,clec-180,F33D4.6,grl-27,F43C1.5,dpy-7,F49E10.2,noah-2,F56D2.3,F56D3.1,abu-13,F57H12.6,F58E6.13,lips-9,bli-2,H03E18.1,glf-1,H42K12.3,pgp-1,dao-2,R07E3.6,R11G11.6,R57.2,grl-7,T03G6.1,nas-15,qua-1,dpy-2,dpy-10,dpy-9,bus-8,T23F6.1,T26C5.2,mlt-11,lpr-6,lpr-5,lpr-4,lpr-3,Y102A11A.5,Y11D7A.5,Y11D7A.9,Y37A1B.7,Y43D4A.5,Y47H9C.1,Y64H9A.2,Y75B7AR.1,grl-15,ZC123.1,nstp-3,cuti-1,ZC434.3,ZK1025.3,bah-1,wrt-1,wrt-10,wrt-6,lon-3"	http://www.ncbi.nlm.nih.gov/pubmed/25474640
Mutants	UP alg-1 mutant (gk214)	77	143	585	29469	5.1E-77	1.17E-72	5.84E-74	"C01F1.5,mlt-10,C14A4.9,C14F11.6,dpy-8,osr-1,C34F6.1,C38C6.3,sym-1,ptr-4,C49F8.3,C50D2.1,D1054.9,dpy-3,F01G10.9,spp-13,mlt-9,F09F9.2,col-128,atf-8,F18C5.5,F21A3.2,F22F4.1,sqt-3,pqn-32,clec-180,F33D4.6,dpy-7,F49E10.2,noah-2,F56D2.3,F56D3.1,abu-13,F58E6.13,lips-9,H03E18.1,glf-1,H42K12.3,ins-35,dao-2,R07E3.6,R11G11.6,grl-7,T03G6.1,nas-15,qua-1,dpy-2,dpy-10,dpy-9,bus-8,T26C5.2,mlt-11,lpr-6,lpr-5,lpr-4,lpr-3,Y102A11A.5,Y11D7A.5,Y11D7A.9,Y37A1B.7,clec-72,Y47H9C.1,Y64H9A.2,Y75B7AR.1,grl-15,ZC123.1,nstp-3,cuti-1,ZC434.3,ZK1025.3,bah-1,wrt-1,wrt-10,ZK154.1,wrt-6,bus-17,lon-3"	http://www.ncbi.nlm.nih.gov/pubmed/20062054
DAF/Insulin/food	Down fed by Comamonas DA1877 vs. OP50 Young adult	65	143	315	29469	1.37E-72	3.13E-70	1.04E-69	"ugt-26,C14A4.9,C14F11.6,C31C9.2,dpy-8,C34F6.1,C38C6.3,sym-1,ptr-4,C49F8.3,dpy-3,spp-13,mlt-9,F09F9.2,F18C5.5,F22F4.1,sqt-3,pqn-32,clec-180,F33D4.6,grl-27,dpy-7,mxl-3,F49E10.2,noah-2,F56D2.3,F56D3.1,abu-13,F57H12.6,F58E6.13,bli-2,H03E18.1,glf-1,H42K12.3,pgp-1,dao-2,R08E5.3,R11G11.6,grl-7,T03G6.1,qua-1,dpy-2,dpy-10,bus-8,T23F6.1,T26C5.2,mlt-11,lpr-6,lpr-5,lpr-4,lpr-3,Y102A11A.5,Y11D7A.5,Y11D7A.9,Y37A1B.7,Y64H9A.2,Y75B7AR.1,grl-15,cuti-1,ZK1025.3,wrt-1,wrt-10,ZK154.1,wrt-6,lon-3"	http://www.ncbi.nlm.nih.gov/pubmed/23540701
Development/Dauer/Aging	Down dauer vs. dauer-exit	68	143	440	29469	5.35E-70	1.23E-64	3.06E-66	"mlt-10,C14A4.9,C14F11.6,C31C9.2,dpy-8,C38C6.3,sym-1,ptr-4,C49F8.3,C50D2.1,D1054.9,dpy-3,F01G10.9,mlt-9,F09F9.2,col-128,atf-8,F22F4.1,sqt-3,pqn-32,F30A10.2,clec-180,F33D4.6,dpy-7,noah-2,F56D3.1,abu-13,F57H12.6,lips-9,cri-3,clec-229,H03E18.1,glf-1,H42K12.3,dao-2,R07E3.6,R57.2,grl-7,T03G6.1,qua-1,dpy-2,dpy-10,dpy-9,T26C5.2,mlt-11,lpr-6,lpr-5,lpr-4,lpr-3,pck-1,rhy-1,W09G12.10,Y102A11A.5,Y11D7A.5,Y11D7A.9,Y37A1B.7,grl-15,hhat-1,ZC123.1,nstp-3,cuti-1,ZK1025.3,bah-1,wrt-1,wrt-10,ZK154.1,wrt-6,lon-3"	http://www.ncbi.nlm.nih.gov/pubmed/22712530
Microbes	down by S. enterica SL2048 under fer-1 mutant	81	143	927	29469	9.6E-67	2.2E-62	4.4E-64	"C01F1.5,mlt-10,ugt-26,C14A4.9,C14F11.6,dpy-8,osr-1,C34F6.1,C38C6.3,ptr-4,C49F8.3,C50D2.1,D1054.9,dpy-3,F01G10.9,spp-13,mlt-9,F09F9.2,col-128,F18C5.5,F22F4.1,pqn-32,F30A10.2,clec-180,F33D4.6,grl-27,tatn-1,dpy-7,F49E10.2,F56D3.1,F57G8.5,F57H12.6,F58E6.13,lips-9,bli-2,clec-229,H03E18.1,glf-1,H42K12.3,dao-2,R07E3.6,R08E5.1,R08E5.3,R11G11.6,R57.2,grl-7,T03G6.1,nas-15,qua-1,T11B7.2,dpy-2,dpy-9,bus-8,T23F6.1,T26C5.2,mlt-11,lpr-5,lpr-4,lpr-3,W09G12.10,Y102A11A.5,Y11D7A.5,Y11D7A.9,Y37A1B.7,Y43D4A.5,clec-72,Y64H9A.2,Y75B7AR.1,grl-15,str-168,hhat-1,ZC123.1,nstp-3,cuti-1,ZC434.3,ZK1025.3,bah-1,wrt-1,ZK154.1,wrt-6,lon-3"	http://www.ncbi.nlm.nih.gov/pubmed/25340560
Mutants	down by pmk-1 (km25) (Bond)	79	143	849	29469	1.51E-65	3.45E-62	5.75E-64	"C01F1.5,mlt-10,C14A4.9,C14F11.6,dpy-8,osr-1,C34F6.1,C38C6.3,sym-1,ptr-4,C49F8.3,C50D2.1,dpy-3,F01G10.9,spp-13,mlt-9,F09F9.2,col-128,atf-8,F18C5.5,F22F4.1,sqt-3,pqn-32,clec-180,F33D4.6,grl-27,dpy-7,F49E10.2,noah-2,F56D2.3,F56D3.1,abu-13,F57H12.6,F58E6.13,lips-9,bli-2,H03E18.1,glf-1,H42K12.3,dao-2,R07E3.6,R11G11.6,R57.2,grl-7,T03G6.1,nas-15,qua-1,dpy-2,dpy-10,dpy-9,bus-8,T23F6.1,T26C5.2,mlt-11,lpr-6,lpr-5,lpr-4,lpr-3,Y102A11A.5,Y11D7A.5,Y11D7A.9,Y37A1B.7,Y43D4A.5,Y64H9A.2,Y75B7AR.1,grl-15,ZC123.1,ZC204.12,nstp-3,cuti-1,ZC434.3,ZK1025.3,bah-1,wrt-1,wrt-10,ZK154.1,wrt-6,bus-17,lon-3"	http://www.ncbi.nlm.nih.gov/pubmed/25474640
Mutants	down by elo-5 mutant under C13ISO	84	143	1176	29469	5.53E-63	1.27E-58	1.81E-59	"C01F1.5,nhr-76,mlt-10,dhs-16,ugt-26,C14A4.9,C14F11.6,C31C9.2,dpy-8,osr-1,C34F6.1,cyp-25A2,C38C6.3,sym-1,ptr-4,C49F8.3,C50D2.1,D1054.9,dpy-3,F01G10.9,spp-13,mlt-9,cpt-5,F09F9.2,col-128,atf-8,F18C5.5,F22F4.1,pqn-32,clec-180,F33D4.6,dpy-7,F49E10.2,F49E12.9,noah-2,F56D2.3,F56D3.1,abu-13,F57G8.5,lips-9,H03E18.1,glf-1,H42K12.3,K01A2.4,ins-35,K05F6.10,dao-2,R07E3.6,R11G11.6,grl-7,T03G6.1,nas-15,qua-1,dpy-2,dpy-10,dpy-9,bus-8,T26C5.2,mlt-11,lpr-6,lpr-5,lpr-4,lpr-3,pck-1,Y102A11A.5,Y11D7A.5,Y11D7A.9,Y37A1B.7,clec-72,Y64H9A.2,Y75B7AR.1,grl-15,ZC123.1,nstp-3,cuti-1,ZC434.3,ZK1025.3,bah-1,wrt-1,wrt-10,ZK154.1,wrt-6,bus-17,lon-3"	http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE64973
Mutants	Down nhr-23 RNAi	55	143	252	29469	2.74E-59	6.28E-57	7.85E-58	"C01F1.5,mlt-10,dhs-16,C14A4.9,C14F11.6,dpy-8,osr-1,C34F6.1,sym-1,ptr-4,dpy-3,F01G10.9,spp-13,mlt-9,F09F9.2,col-128,atf-8,F18C5.5,F22F4.1,sqt-3,clec-180,F33D4.6,nspb-4,dpy-7,noah-2,F56D2.3,abu-13,F57H12.6,lips-9,H03E18.1,glf-1,H42K12.3,dao-2,R07E3.6,R57.2,grl-7,qua-1,dpy-2,dpy-10,dpy-9,bus-8,T26C5.2,mlt-11,lpr-6,lpr-5,lpr-4,lpr-3,Y11D7A.5,Y11D7A.9,Y37A1B.7,grl-15,ZK1025.3,wrt-1,wrt-10,lon-3"	http://www.ncbi.nlm.nih.gov/pubmed/21910973
Mutants	UP by aak-2 mutant (Burkewitz)	62	143	492	29469	4.03E-55	9.24E-52	1.03E-51	"mlt-10,C14A4.9,C14F11.6,dpy-8,C34F6.1,C38C6.3,sym-1,ptr-4,C50D2.1,D1054.9,dpy-3,spp-13,mlt-9,F09F9.2,F22F4.1,sqt-3,pqn-32,clec-180,F33D4.6,dpy-7,F49E10.2,noah-2,F56D2.3,F56D3.1,abu-13,F57H12.6,F58E6.13,lips-9,bli-2,H03E18.1,glf-1,H42K12.3,pgp-1,dao-2,R07E3.6,R08E5.3,grl-7,T03G6.1,qua-1,dpy-2,dpy-10,dpy-9,bus-8,T26C5.2,mlt-11,lpr-6,lpr-5,lpr-4,lpr-3,Y102A11A.5,Y11D7A.5,Y43D4A.5,grl-15,hhat-1,ZC123.1,ZC434.3,ZK1025.3,wrt-1,wrt-10,ZK154.1,wrt-6,lon-3"	http://www.ncbi.nlm.nih.gov/pubmed/25723162
DAF/Insulin/food	down by daf-2 mutant (Mueller)	57	143	373	29469	7.45E-55	1.71E-49	1.71E-51	"C01F1.5,mlt-10,C14A4.9,dpy-8,osr-1,C34F6.1,C38C6.3,C50D2.1,D1054.9,dpy-3,spp-13,mlt-9,F09F9.2,col-128,atf-8,F18C5.5,F22F4.1,sqt-3,pqn-32,clec-180,F33D4.6,mxl-3,F49E10.2,F56D2.3,F56D3.1,abu-13,lips-9,H03E18.1,glf-1,H42K12.3,R07E3.6,R11G11.6,grl-7,T03G6.1,nas-15,qua-1,dpy-2,bus-8,T26C5.2,lpr-5,lpr-4,Y102A11A.5,Y11D7A.5,Y11D7A.9,Y37A1B.7,Y64H9A.2,Y75B7AR.1,grl-15,ZC123.1,nstp-3,ZC434.3,ZK1025.3,bah-1,wrt-1,ZK154.1,wrt-6,lon-3"	http://www.ncbi.nlm.nih.gov/pubmed/25419847
