Category	Term	Counts	ListSize	PopHit	Pop.Size	Pvalue	Bonferroni	FDR	OverlappedID	Refs
Microbes	"UP by PA14, 24h"	80	234	534	29469	3.07E-63	7.04E-60	7.04E-60	"C03B1.14,C12D12.1,C17H12.6,dod-21,C32H11.4,C32H11.9,D2007.1,F01D5.1,ech-9,fbxa-88,fbxa-18,F14B8.6,F14H3.12,F19C7.1,spp-18,cyp-37B1,rrn-3.56,rrn-2.1,F31F7.1,clec-63,clec-66,dct-17,F40F4.6,F42C5.4,fbxa-87,F46G10.4,F49F1.6,F49F1.7,klf-3,F55G1.15,F55G11.2,F55G11.8,fbxa-190,H20E11.3,H34I24.2,fozi-1,K06A4.7,K08D8.5,K09C4.1,dod-17,clec-265,nhr-99,ifc-2,R03G8.3,R10E8.8,T01D3.6,fbxa-54,ugt-54,T25D10.1,srz-99,clec-173,W04B5.3,pcp-4,Y22D7AR.7,srd-64,fbxa-74,lys-1,lys-2,comt-2,Y34B4A.6,Y40D12A.2,fbxa-219,clec-84,Y54G2A.49,clec-85,skr-4,hum-8,fbxa-89,fbxa-80,fbxa-19,Y82E9BL.18,linc-40,Y94H6A.2,Y9C9A.8,fbxa-29,fbxa-31,ZK287.9,ZK418.6,clec-143,clec-186"	http://www.ncbi.nlm.nih.gov/pubmed/27066825
Microbes	"UP by B. thuringiensis (BT247), 24h"	97	234	1288	29469	1.1E-53	2.52E-48	1.26E-48	"B0244.10,C03B1.14,C05C12.4,C12D12.1,C17H12.6,oac-5,C31B8.7,C32H11.4,C32H11.9,gba-1,fbxa-175,fbxa-176,frpr-4,D2007.1,D2092.1,F01D5.1,ech-9,clec-46,fbxa-88,fbxa-18,F14B8.6,F14H3.12,F19C7.1,srj-29,spp-18,F31F7.1,clec-63,clec-64,clec-66,dct-17,F40F4.6,F42G2.2,fbxa-182,F42G2.5,fbxa-4,F46G10.4,dod-23,F49F1.6,F49F1.7,lipl-1,klf-3,F55G1.15,F55G11.2,F55G11.8,fbxa-190,ora-1,H20E11.3,K06A4.7,cyp-35B2,K08D8.5,dod-17,clec-265,ifc-2,R03G8.3,T01D3.6,fbxa-135,fbxa-54,ugt-54,T25D10.1,srz-100,srz-99,clec-173,W04B5.3,Y102A11A.1,pcp-4,Y22D7AR.7,srd-64,fbxa-74,lys-1,lys-2,dmsr-2,comt-2,Y34B4A.6,Y39D8A.1,Y40D12A.2,Y48A6B.7,fbxa-219,clec-83,clec-84,Y54G2A.49,clec-85,Y57G7A.1,Y71G12B.32,plc-2,fbxa-89,fbxa-80,fbxa-19,Y82E9BL.18,linc-40,Y94H6A.2,Y9C9A.8,fbxa-31,ZK1320.3,ZK287.9,ZK418.6,clec-143,clec-186"	http://www.ncbi.nlm.nih.gov/pubmed/27066825
Tissue	Positive Enriched Intestinal genes	113	234	2431	29469	2.19E-42	5.03E-40	1.68E-39	"B0244.10,B0507.3,acl-12,C03F11.2,C06B8.2,C12D12.1,lys-8,C18A3.10,hpo-15,C31B8.7,C31C9.6,C32H11.4,gba-1,fbxa-176,math-20,C44H9.6,C44H9.7,C49A9.6,cyp-33C9,F01D5.1,ech-9,clec-45,fbxa-18,ifb-2,F13H8.1,F13H8.11,F14B8.6,F14E5.1,F14H3.12,F19C7.1,ttr-37,cyp-37B1,F31F7.1,nhr-8,clec-64,clec-65,clec-66,dct-17,F40F4.6,F41G3.18,F42C5.4,F42G2.2,fbxa-182,fbxa-4,btb-9,F46G10.4,clec-24,F49F1.6,F54D5.4,F55G1.15,F55G11.2,F55G11.7,F55G11.8,nhr-193,slcf-1,H20E11.3,K06G5.1,K11E4.2,K12C11.7,clec-265,M03D4.6,lact-3,ifc-2,R03G8.3,scav-5,lipl-3,T01D3.6,T02C5.1,fbxa-135,fbxa-67,fbxa-54,fbxa-55,T18D3.7,ugt-54,T25D10.1,srz-100,srz-99,clec-173,clec-35,pcp-4,pes-4,Y22D7AR.14,srd-64,fbxa-74,lys-1,lys-2,Y34B4A.6,Y34F4.5,Y40D12A.2,Y52E8A.3,fbxa-219,clec-84,clec-85,clec-82,lec-6,Y57G7A.1,hum-8,Y71G12B.32,fbxa-89,fbxa-80,Y82E9BL.18,Y82E9BR.21,Y82E9BR.23,Y82E9BR.5,cln-3.3,ZC196.1,fbxa-29,fbxa-31,ZK1240.2,ZK287.9,clec-58,ZK856.5,clec-186"	http://www.ncbi.nlm.nih.gov/pubmed/22467213
TF Targets	Low-complexity elt-2 targets	113	234	2475	29469	1.41E-42	3.23E-38	8.07E-40	"B0244.10,B0507.3,acl-12,C05C12.4,C06B8.2,C08B6.3,C12D12.1,math-15,lys-8,hpo-15,oac-5,C31C9.6,dod-21,C32H11.4,gba-1,fbxa-175,fbxa-176,math-20,C44H9.7,C45E1.4,C49A9.6,C50F4.1,D1054.18,ugt-43,F01D5.1,ech-9,fbxa-88,fbxa-18,ifb-2,F13H8.1,F13H8.11,F14H3.12,F19C7.1,ttr-37,spp-18,cyp-37B1,rrn-2.1,F31E9.3,F31F7.1,nhr-8,clec-62,clec-63,dct-17,psa-3,F40F4.6,F41G3.18,F42G2.2,F42G2.5,fbxa-4,fbxa-87,btb-9,F46G10.4,F54D5.4,lipl-1,klf-3,egas-4,F55G11.2,F55G11.8,fbxa-190,nhr-193,slcf-1,H34I24.2,fozi-1,K06A4.7,K06G5.1,K08D8.5,K11E4.2,clec-265,nhr-99,M04D5.3,lact-3,ifc-2,R03G8.3,scav-5,R10E8.8,lipl-3,T01D3.6,T02C5.1,T09E11.11,fbxa-55,T20F7.3,T23F4.3,ugt-54,W02D7.8,Y102A11A.1,pes-4,fbxa-21,fbxa-74,lys-1,lys-2,comt-2,Y34B4A.6,Y34F4.5,fpn-1.1,Y40C5A.1,Y40C7B.4,Y40D12A.2,Y41D4B.17,Y48A6B.7,Y48C3A.5,fbxa-219,lec-6,Y55F3BR.11,hum-8,plc-2,fbxa-80,fbxa-19,Y82E9BR.23,ZK1240.2,ZK1320.3,clec-143,ZK856.5,clec-186"	http://www.ncbi.nlm.nih.gov/pubmed/27070429
Microbes	"UP S. marcescens 24h, RNASeq"	109	234	2263	29469	1.96E-42	4.49E-38	8.99E-40	"B0244.10,C03B1.14,C05C12.4,C06B8.2,C08B6.3,C12D12.1,C13C4.6,math-15,lys-8,C17H12.6,oac-5,C31B8.7,C32H11.4,gba-1,C44H9.6,C45E1.4,cyp-33C9,frpr-4,D2092.1,ugt-43,F01D5.1,ech-9,fbxa-88,fbxa-18,F13H8.11,F14E5.1,F19C7.1,nhr-8,clec-62,clec-63,clec-64,clec-65,clec-66,dct-17,psa-3,F40F4.6,fbxa-182,F42G2.5,fbxa-4,F46G10.4,clec-24,dod-23,F49F1.6,F49F1.7,F54D5.4,lipl-1,klf-3,F55G1.15,F55G11.2,F55G11.7,F55G11.8,fbxa-190,vit-3,vit-4,slcf-1,H20E11.3,H34I24.2,fozi-1,K04G11.3,K06G5.1,cyp-35B2,K08D8.5,dod-17,clec-265,ifc-2,R03G8.3,scav-5,T01D3.6,fbxa-135,fbxa-54,T25D10.1,srz-100,srz-99,clec-173,W04B5.3,Y102A11A.1,clec-35,fbxa-74,lys-1,lys-2,comt-2,Y34B4A.6,Y34F4.5,Y38H6C.16,Y39D8A.1,Y40C7B.4,Y40D12A.2,Y41D4B.17,Y48A6B.7,clec-83,clec-84,Y54G2A.49,clec-85,lec-6,hum-8,Y71G12B.32,fbxa-89,fbxa-80,fbxa-19,Y94H6A.2,Y9C9A.8,cln-3.3,ZC196.1,fbxa-29,fbxa-31,ZK1320.3,clec-143,ZK856.5,clec-186"	http://www.ncbi.nlm.nih.gov/pubmed/21602919
Microbes	"UP by B. thuringiensis (BT247), 12h"	84	234	1240	29469	6.97E-39	1.6E-34	2.66E-36	"C05B5.17,C17H12.6,oac-5,C31B8.7,dod-21,gba-1,fbxa-176,frpr-4,D2007.1,D2092.1,ugt-43,F01D5.1,ech-9,clec-45,clec-46,fbxa-88,fbxa-18,ifb-2,F21A3.11,spp-18,F31F7.1,clec-63,clec-64,clec-66,dct-17,F42C5.4,F42G2.2,fbxa-182,F42G2.5,fbxa-4,dod-23,F49F1.6,F49F1.7,lipl-1,F55G11.8,fbxa-190,H20E11.3,fozi-1,K06A4.7,cyp-35B2,K08D8.5,clec-265,R03G8.3,R10E8.8,T01D3.6,fbxa-135,T09E11.11,fbxa-54,T23F4.3,T25D10.1,srz-100,srz-99,W04B5.3,Y102A11A.1,clec-35,Y110A2AL.3,Y22D7AR.7,srd-64,fbxa-74,lys-1,lys-2,comt-2,Y38H6C.16,fbxa-219,clec-83,clec-84,Y54G2A.49,clec-85,Y71G12B.32,plc-2,fbxa-89,fbxa-80,fbxa-19,Y82E9BL.18,linc-40,Y82E9BR.23,Y94H6A.2,Y9C9A.8,fbxa-29,fbxa-31,ZK1320.3,ZK418.6,clec-143,clec-186"	http://www.ncbi.nlm.nih.gov/pubmed/27066825
Microbes	UP on S. marcescens	82	234	1238	29469	1.06E-35	2.43E-32	3.48E-33	"acl-12,C03B1.14,C05C12.4,C08B6.3,C13C4.6,lys-8,hpo-15,C32H11.4,gba-1,math-20,C44H9.6,C50F4.1,D2007.1,ech-9,ifb-2,F14B8.6,ttr-37,asp-6,spp-18,cyp-37B1,F31F7.1,nhr-8,clec-62,clec-63,clec-65,clec-66,F41G3.18,F42C5.4,F42G2.2,fbxa-4,btb-9,dod-23,F54D5.4,F54F3.2,lipl-1,klf-3,F55G11.8,ora-1,H20E11.3,H34I24.2,K02A11.4,K06A4.7,K06G5.1,K08D8.5,K09C4.1,dod-17,K12C11.6,K12C11.7,clec-265,nhr-99,lact-3,ifc-2,R03G8.3,R10E8.8,lipl-3,T01D3.6,T02C5.1,fbxa-54,fbxa-55,T18D3.7,ugt-54,clec-173,W04B5.3,pes-4,fbxa-74,lys-1,lys-2,Y34F4.5,Y40C5A.1,Y41D4B.17,Y48A6B.7,fbxa-219,clec-83,clec-84,Y54G2A.49,lec-6,skr-4,hum-8,plc-2,Y82E9BR.23,ZK1240.2,ZK287.9"	http://www.ncbi.nlm.nih.gov/pubmed/23028509
TF Targets	PQM-1 L3 Targets	90	234	1690	29469	1.9E-33	4.36E-31	5.45E-32	"B0507.3,acl-12,C05C12.4,C06B8.2,C12D12.1,math-15,lys-8,hpo-15,oac-5,dod-21,C32H11.4,C32H11.9,gba-1,fbxa-176,C44H9.6,C49A9.6,C50F4.1,ugt-43,F01D5.1,ech-9,fbxa-88,fbxa-18,ifb-2,F13H8.1,F13H8.11,F14B8.6,F14H3.12,F19C7.1,ttr-37,asp-6,srj-29,spp-18,cyp-37B1,F31F7.1,nhr-8,clec-62,clec-63,dct-17,psa-3,F40F4.6,btb-9,F46G10.4,F54D5.4,F55G11.8,fbxa-190,nhr-193,slcf-1,K06A4.7,K06G5.1,K08D8.5,K09C4.1,clec-265,nhr-99,R03G8.3,scav-5,R10E8.8,T01D3.6,T02C5.1,T09E11.11,ugt-54,W02D7.8,W04B5.3,Y102A11A.1,pcp-4,pes-4,fbxa-74,lys-2,comt-2,fpn-1.1,Y40C5A.1,Y40C7B.4,Y41D4B.17,Y48A6B.7,fbxa-219,clec-83,clec-85,lec-6,Y55F3BR.11,Y71G12B.32,plc-2,fbxa-80,fbxa-19,Y82E9BR.23,cln-3.3,fbxa-29,fbxa-31,ZK1240.2,ZK287.9,ZK856.5,clec-186"	http://www.ncbi.nlm.nih.gov/pubmed/21177963
Microbes	"UP S. marcescens 24h, TillingArray"	106	234	2649	29469	8E-33	1.83E-28	2.04E-30	"B0244.10,acl-12,C05C12.4,C06B8.2,C08B6.3,C12D12.1,lys-8,C17H12.6,C18A3.10,oac-5,dod-21,C32H11.4,C32H11.9,gba-1,C44H9.6,C50F4.1,D2007.1,D2092.1,ugt-43,F01D5.1,ech-9,clec-45,fbxa-18,ifb-2,F13H8.1,F13H8.11,F14B8.6,F14E5.1,F14H3.12,F19C7.1,srj-29,spp-18,nhr-8,clec-62,clec-63,clec-65,clec-66,dct-17,F40F4.6,F42G2.2,F42G2.5,F46G10.4,dod-23,F49F1.6,F49F1.7,F54D5.4,lipl-1,klf-3,F55G1.15,F55G11.2,F55G11.7,F55G11.8,fbxa-190,slcf-1,H20E11.3,H34I24.2,fozi-1,K06A4.7,K06G5.1,cyp-35B2,K08D12.7,K08D8.5,dod-17,K12C11.6,K12C11.7,clec-265,nhr-99,lact-3,ifc-2,R03G8.3,scav-5,T01D3.6,T25D10.1,srz-99,clec-173,W04B5.3,pcp-4,Y22D7AR.14,srd-64,fbxa-74,lys-1,lys-2,comt-2,Y34B4A.6,Y39D8A.1,Y40D12A.2,Y41D4B.17,Y48A6B.7,Y52E8A.3,clec-83,clec-84,Y54G2A.49,clec-85,lec-6,plc-2,fbxa-19,Y94H6A.2,Y9C9A.8,cln-3.3,ZC196.1,fbxa-31,ZK1320.3,ZK287.9,clec-143,ZK856.5,clec-186"	http://www.ncbi.nlm.nih.gov/pubmed/21602919
Chemicals/stress	UP by Hypoxia	76	234	1355	29469	1.91E-26	4.37E-24	4.37E-25	"B0244.10,B0507.3,C03B1.14,C05C12.4,C06B8.2,C18A3.10,C31C9.6,math-20,C49A9.6,C50F4.1,ech-9,fbxa-18,ifb-2,F13H8.1,F13H8.11,F14B8.6,F14E5.1,F14H3.12,F19C7.1,asp-6,F31E9.3,nhr-8,clec-62,clec-63,clec-66,psa-3,F42C5.4,F42G2.2,fbxa-182,F42G2.5,btb-9,F55G11.7,nhr-193,H20E11.3,fozi-1,K02A11.4,K04G11.3,K06A4.7,K06G5.1,K11E4.2,K12C11.6,K12C11.7,nhr-99,ifc-2,R03G8.3,T01D3.6,T02C5.1,fbxa-55,T24F1.5,ugt-54,T25D10.1,W02D7.8,W04B5.3,pes-4,lys-2,dmsr-2,fpn-1.1,Y39D8A.1,Y40C5A.1,Y41D4B.17,clec-83,clec-84,lec-6,Y55F3BR.11,skr-4,hum-8,Y71G12B.32,plc-2,fbxa-80,fbxa-19,Y82E9BR.21,Y82E9BR.5,fbxa-29,fbxa-31,ZK1240.2,ZK1320.3"	http://www.ncbi.nlm.nih.gov/pubmed/25284791
