Category	Term	Counts	ListSize	PopHit	Pop.Size	Pvalue	Bonferroni	FDR	OverlappedID	Refs
Microbes	"UP by B. thuringiensis at 6h (BT247, 1:10) (Yang)"	128	325	751	29469	1.15E-100	2.63E-98	1.86E-98	"B0024.3,B0205.13,faah-2,B0284.1,B0403.3,tes-1,aqp-2,adm-2,cht-1,C06B3.7,C06B8.7,C11G10.1,srr-6,C17H1.5,C23H4.6,C25E10.10,C25F9.16,egrh-1,C27H2.2,C28G1.2,nmur-4,C32D5.7,C33D9.5,C37A5.3,fipr-24,C44B7.6,C45G9.7,nhr-6,C49G7.10,irg-2,C49G7.7,D2063.1,E04F6.8,vhp-1,sto-1,dhhc-1,pqn-29,tir-1,F14B8.5,cyp-13A11,F17C11.11,col-89,F19B10.13,F19C6.2,arl-7,ckb-4,tli-1,F26E4.7,F28H1.1,pha-4,F38E9.1,F45D3.4,F47A4.5,acs-16,F48C1.9,F48E3.2,F48E3.8,oac-31,pcs-1,bro-1,F56C9.8,F57G8.7,ttr-45,K07B1.8,K07G5.4,cyp-14A3,K09D9.1,K10B4.3,K10G6.5,K10H10.10,mtl-1,M01A8.1,M05B5.2,sek-1,R05H10.1,nhr-208,R09A1.3,cnc-4,R13H4.5,sma-1,cgt-1,T07A5.7,cyp-13A5,T10C6.15,gem-4,T12D8.5,T13H5.6,T20D4.12,T20D4.7,scrm-1,cnp-3,T23F11.6,T24B8.4,srr-2,T28A11.3,ttr-6,W01F3.2,W03G1.5,W08A12.2,W10G11.1,Y102A11A.9,Y17G9A.4,Y2H9A.6,vab-2,Y38H6C.24,clp-4,pvf-1,col-95,efhd-1,cpt-3,haf-7,Y54G2A.36,Y58A7A.3,thn-5,ttr-17,pho-9,Y73B6BL.27,Y73C8B.5,Y75B8A.28,ptr-22,ZC443.3,fbxa-33,ZK1010.8,ZK1037.13,srt-22,ZK105.1,ghi-1,tep-1"	http://www.ncbi.nlm.nih.gov/pubmed/25720978
Microbes	"UP by B. thuringiensis at 6h (BT247, 1:2) (Yang)"	122	325	644	29469	1.63E-101	3.73E-98	1.86E-98	"B0024.3,B0205.13,faah-2,B0284.1,B0403.3,tes-1,adm-2,cht-1,C06B3.7,C11G10.1,srr-6,C17H1.5,C23H4.6,C25E10.10,C25F9.16,egrh-1,C27H2.2,C28G1.2,nmur-4,C32D5.12,C32D5.7,fipr-24,C45G9.7,nhr-6,C49G7.10,irg-2,C49G7.7,C54C6.7,D2063.1,E04F6.8,vhp-1,sto-1,F09F3.8,pqn-29,tir-1,F14B8.5,cyp-13A11,F17C11.11,col-89,F19B10.13,F19C6.2,arl-7,ckb-4,F26E4.7,F28F5.6,F28H1.1,pha-4,F38E9.1,F45D3.4,F48C1.9,F48E3.2,F48E3.8,oac-31,bro-1,F56C9.8,F57G8.7,F59C6.18,ttr-45,K02E10.6,cyp-14A3,K09D9.1,K10B4.3,K10G6.5,mtl-1,M01A8.1,M05B5.2,col-135,sek-1,R05H10.1,R09A1.3,R09D1.12,R13H4.5,sma-1,cgt-1,T07A5.7,T08D2.6,cyp-13A5,T10C6.15,gem-4,T12D8.5,T13H5.6,T20D4.12,T20D4.7,scrm-1,cnp-3,T23F11.6,T24B8.4,srr-2,T28A11.3,ttr-6,W01F3.2,W08A12.2,W10G11.1,Y102A11A.9,Y17G9A.4,Y2H9A.6,vab-2,clp-4,pvf-1,tsp-13,col-95,cpt-3,haf-7,Y51A2B.16,Y54G2A.36,Y57G11C.46,Y58A7A.3,thn-5,ttr-17,pho-9,Y73B6BL.27,Y73C8B.5,Y75B8A.28,ptr-22,ZC443.3,fbxa-33,ZK1010.8,ZK1037.13,srt-22,ZK105.1,ghi-1,tep-1"	http://www.ncbi.nlm.nih.gov/pubmed/25720978
Microbes	UP on S. marcescens	123	325	1238	29469	1.39E-66	3.19E-64	1.06E-63	"cyp-34A7,cyp-34A9,nlp-28,faah-2,B0272.4,ckb-2,tes-1,aqp-2,acs-7,C02F5.7,cht-1,icl-1,C06B3.6,C06B3.7,C07H4.1,C10C5.5,C11G10.1,srr-6,cal-2,tre-5,C23H4.6,C25E10.10,C27B7.9,nmur-4,C32D5.12,C36E8.4,fipr-22,C37A5.3,tag-253,ttr-5,dhs-18,acs-17,prx-11,nhr-6,spp-15,C49G7.10,irg-2,C49G7.7,paf-2,C54C6.7,D2063.1,E04F6.8,cyp-13B1,vhp-1,sto-1,F08G2.4,F11E6.11,tir-1,F14B8.5,F16B4.7,F16C3.2,F17C11.11,F18C5.10,F19C6.2,F26E4.7,F26F12.3,F26G1.2,F28F5.6,F28H1.1,pha-4,nep-14,csq-1,lbp-1,F45D3.4,F47E1.4,acs-16,F48C1.9,F48E3.8,oac-31,F54F3.4,dct-8,egl-15,F58A6.1,F58F9.7,ttr-45,K09D9.1,K10B4.3,cpt-4,mtl-1,M01A8.1,M05B5.2,M7.12,M7.8,R05H10.1,cnc-4,sma-1,dhs-31,cyp-13A5,T10H9.8,gem-4,T12D8.5,T13H5.6,T20B3.1,T23F11.6,T24B8.4,ttr-6,W01F3.2,W05H9.3,W08A12.2,W10G11.2,Y38F1A.8,clp-4,ttm-1,Y43F8B.9,Y44A6C.1,cpt-3,Y54G2A.11,Y58A7A.3,ttr-17,pho-9,Y73C8B.1,Y75B8A.28,Y77E11A.2,ptr-22,Y87G2A.2,Y95B8A.6,kgb-2,ZC443.3,ugt-4,ZK105.1,tep-1,ZK550.6,best-24"	http://www.ncbi.nlm.nih.gov/pubmed/23028509
Microbes	UP on X. nematophila	96	325	745	29469	2.28E-57	5.24E-54	1.31E-54	"B0205.13,cyp-34A9,nlp-28,faah-2,B0272.4,B0403.3,aqp-2,acs-7,C02F5.7,icl-1,C06B3.6,C06B3.7,C08E3.13,C11G10.1,srr-6,cal-2,C23H4.6,C27B7.9,C32D5.12,lact-5,fipr-22,C37A5.3,fipr-24,dhs-18,acs-17,prx-11,C49G7.10,irg-2,C49G7.7,paf-2,D2063.1,vhp-1,sto-1,F08G12.5,F08G2.4,pqn-29,F11E6.11,tir-1,F16C3.2,F17C11.11,arl-7,F26F12.3,F28F5.6,F28H1.1,nep-14,F45D3.4,acs-16,F48C1.9,oac-31,F54F3.4,dct-8,F58F9.7,swt-1,K09D9.1,K10B4.3,cpt-4,mtl-1,M01A8.1,arrd-3,col-135,M7.8,R05H10.1,cnc-4,dhs-31,T05E7.4,T10C6.15,T10G3.1,T10H9.8,gem-4,pqn-67,T20B3.1,T23F11.6,W01F3.2,W04A4.2,W08A12.2,W10G11.2,pvf-1,col-95,Y43F8B.9,Y44A6C.1,efhd-1,cpt-3,haf-7,Y54G2A.11,Y58A7A.3,ttr-17,pho-9,Y73C8B.1,Y77E11A.2,ptr-22,Y95B8A.6,kgb-2,ZC443.3,ugt-4,tep-1,ZK550.6"	http://www.ncbi.nlm.nih.gov/pubmed/23028509
TF Targets	daf-16 targets within daf-2(-) (Kumar)	88	325	833	29469	2.26E-43	5.19E-41	1.04E-41	"nlp-28,B0272.4,aqp-2,acs-7,adm-2,icl-1,C06B3.6,C06B3.7,C06B8.7,srr-6,C23H4.6,C25E10.10,C28G1.2,C32D5.7,fipr-22,C37A5.3,ttr-5,C44C1.6,C45G9.7,spp-15,C54C6.7,D2063.1,E04F6.8,vhp-1,sto-1,F08G12.5,F08G2.4,dhhc-1,F09F3.8,F14B8.5,F17C8.3,F19C6.2,F23C8.6,F23D12.7,F25B3.5,ppm-1,tli-1,pha-4,csq-1,lbp-1,F45D3.4,F47A4.5,suca-1,acs-16,F48D6.4,F53C11.9,F53C3.6,F56C9.8,F58A6.1,F58F9.7,F59C6.16,ttr-45,K02E10.1,K02E10.6,K06A9.2,mtl-1,M7.12,sma-1,snf-11,cyp-13A5,T10C6.15,T10G3.1,gem-4,T12D8.5,T12G3.4,T20B3.1,cnp-3,ttr-6,W03G1.5,W05H9.3,W08A12.2,clp-4,tsp-13,Y41C4A.11,Y44A6C.1,cpt-1,ral-1,Y56A3A.33,Y58A7A.3,ttr-17,Y87G2A.2,Y95B8A.6,Y97E10AR.1,ZC443.3,fbxa-33,ZK154.6,ghi-1,tep-1"	http://www.ncbi.nlm.nih.gov/pubmed/26539642
Microbes	"UP by B. thuringiensis at 12h (BT247, 1:10) (Yang)"	103	325	1415	29469	1.12E-38	2.56E-35	4.27E-37	"B0024.3,B0205.13,B0284.1,B0284.2,ckb-2,B0403.3,icl-1,C06B3.7,C08E3.13,srr-6,C17H1.5,C18H7.1,C23H4.6,C28G1.2,nmur-4,C32D5.12,C32D5.7,lact-5,fipr-24,C44B7.6,C46A5.8,acs-17,C46G7.5,C47G2.8,nhr-6,C49G7.10,irg-2,C49G7.7,C54C6.7,D2063.1,cyp-13B1,vhp-1,sto-1,F09F3.8,pqn-29,F14B8.5,F17C11.11,col-89,F19B10.13,arl-7,F25B3.5,F38E9.1,F40E3.7,F48C1.9,F48E3.2,F48E3.8,oac-31,F56C9.8,F57G8.7,ttr-45,K06A9.2,K07B1.8,K09D9.1,M01A8.1,osm-3,M05B5.2,sek-1,R05H10.1,R09E10.13,R13H4.5,cgt-1,cyp-13A5,T10C6.15,gem-4,T20B3.1,T20D4.12,T20D4.7,cnp-3,T23F11.6,T26E3.7,srr-2,T28A11.3,W03G1.5,W08A12.2,W09C5.12,Y102A11A.9,Y17G9A.4,vab-2,clp-4,pvf-1,Y39B6A.27,Y41C4A.11,col-95,Y46H3C.6,efhd-1,cpt-3,haf-7,Y53G8B.2,Y54G2A.36,Y56A3A.33,Y58A7A.3,Y73C8B.1,Y73C8B.5,Y75B8A.28,ptr-22,Y97E10AR.1,ZC443.3,fbxa-33,ZK1010.8,srt-22,ZK105.1,ghi-1,tep-1"	http://www.ncbi.nlm.nih.gov/pubmed/25720978
TF Targets	daf-16 targets (Kumar)	83	325	816	29469	1.89E-38	4.34E-35	6.2E-37	"lin-24,cyp-34A9,nlp-28,B0272.4,aqp-2,acs-7,adm-2,mel-32,icl-1,C06B3.6,C06B3.7,C06B8.7,C06E4.3,srr-6,C23H4.6,C28G1.2,C32D5.7,fipr-22,C37A5.3,C45G9.7,spp-15,C54C6.7,D2063.1,cyp-13B1,F08G12.5,F08G2.4,dhhc-1,F14B8.5,F17C11.11,F17C8.3,F19C6.2,F23C8.6,F23D12.7,F25B3.5,ppm-1,tli-1,F26E4.7,F26G1.2,csq-1,lbp-1,F47A4.5,suca-1,acs-16,F48D6.4,F53C3.6,F56C9.8,F58A6.1,F59C6.16,F59C6.18,ttr-45,K02E10.6,K06A9.2,cpt-4,mtl-1,sma-1,snf-11,cyp-13A5,T10C6.15,T10G3.1,gem-4,T12D8.5,T12G3.4,cnp-3,ttr-6,W05H9.3,W08A12.2,tsp-13,Y41C4A.11,col-95,Y56A3A.33,Y58A7A.3,ttr-17,pho-9,Y75B8A.28,Y87G2A.2,Y95B8A.6,Y97E10AR.1,ZC443.3,fbxa-33,ZK1037.13,ZK154.6,ghi-1,tep-1"	http://www.ncbi.nlm.nih.gov/pubmed/26539642
Chemicals/stress	UP by mefloquine high	94	325	1254	29469	1.55E-35	3.56E-32	4.45E-34	"lin-24,faah-2,ckb-2,C02F5.7,adm-2,cht-1,C06B3.6,C06B3.7,C06B8.7,C07H4.1,C08D8.1,srr-6,C23H4.6,srw-85,C27H2.2,nmur-4,C36E8.4,fipr-22,fipr-24,tag-253,ttr-5,C45G9.7,acs-17,C49G7.10,irg-2,D2063.1,cyp-13B1,vhp-1,sto-1,F08G2.4,tir-1,F16B4.7,F16C3.2,F17C11.11,F18C5.10,F19C6.2,F22B8.7,ckb-4,F23C8.6,F28H1.1,pha-4,F45D3.4,F47A4.5,F47G9.1,F48D6.4,F48E3.8,oac-31,F53C3.6,F53E10.1,F56C9.8,F59B10.4,cpg-8,K09D9.1,sli-1,M05B5.2,M7.8,sek-1,R05H10.1,cnc-4,R13H4.5,T05E7.4,cgt-1,cyp-13A5,T10G3.1,gem-4,T12D8.5,T12G3.4,T13H5.6,T20D4.7,scrm-1,hsp-16.11,W01F3.2,W08A12.2,siah-1,clp-4,pvf-1,Y39B6A.27,Y41C4A.11,Y44A6C.1,efhd-1,haf-7,ral-1,Y53G8B.2,Y56A3A.33,Y58A7A.3,pho-9,Y77E11A.2,ptr-22,kgb-2,ZC443.3,ZK154.6,ghi-1,tep-1,best-24"	http://www.ncbi.nlm.nih.gov/pubmed/19402892
Development/Dauer/Aging	UP by aging on day 5	124	325	2494	29469	6.32E-33	1.45E-30	1.61E-30	"B0205.13,cyp-34A9,B0284.1,B0284.2,B0403.3,B0563.10,hil-7,aqp-2,adm-2,cht-1,C06B8.7,C08E3.13,C10G11.7,C17H1.5,tre-5,C23H4.6,C25E10.10,srw-85,C25F9.16,C27H2.2,C36E8.4,fipr-22,C37A5.3,fipr-24,ttr-5,nhr-6,spp-15,C49G7.10,irg-2,C49G7.7,C54C6.7,E04F6.8,vhp-1,F08G2.4,pqn-29,F11E6.11,tir-1,F14B8.5,F16B4.7,F17C8.3,F18C5.10,F19B10.13,F25B3.5,tli-1,F26F12.3,F26G1.2,F28F5.4,F28H1.1,F45D3.4,F47A4.5,acs-16,F48C1.9,F48E3.8,F53C11.9,F53C3.6,bro-1,dct-8,egl-15,ttr-45,K02E10.6,K09D9.1,K10B4.3,K10G6.9,cpt-4,mtl-1,M05B5.2,sek-1,R05H10.1,cnc-4,R09D1.12,R09E10.13,sma-1,T03F1.6,snf-11,T05E7.4,T07A5.7,cyp-13A5,T10C6.15,T10G3.1,cyp-34A2,gem-4,T13H5.6,ver-1,T19C9.8,T20D4.12,T20D4.7,scrm-1,cnp-3,T23F11.6,hsp-16.11,ttr-6,W01A11.7,W01F3.2,W03G1.5,W04A4.2,W05H9.3,W08A12.2,Y102A11A.9,fbxa-36,Y17G7B.22,Y2H9A.6,siah-1,vab-2,nhr-236,Y38H6C.24,clp-4,pvf-1,col-95,Y43F8B.9,Y44A6C.1,efhd-1,cpt-3,Y54G2A.11,Y56A3A.33,Y58A7A.3,ttr-17,Y73B6BL.27,Y77E11A.2,ptr-22,Y97E10AR.1,ZC443.3,ZK1010.8,ZK105.1,tep-1"	http://www.ncbi.nlm.nih.gov/pubmed/26623667
Microbes	"UP by B. thuringiensis at 12h (BT247, 1:2) (Yang)"	83	325	1058	29469	1.17E-29	2.69E-26	2.69E-27	"B0205.13,B0284.1,hil-7,icl-1,C06B3.7,C08E3.13,srr-6,C17H1.5,C18H7.1,C23H4.6,C28G1.2,nmur-4,C32D5.12,lact-5,C44B7.6,C44C1.6,C46G7.5,nhr-6,C49G7.10,irg-2,C49G7.7,C54C6.7,D2063.1,cyp-13B1,vhp-1,sto-1,F09F3.8,F14B8.5,F17C11.11,col-89,F19B10.13,arl-7,F38E9.1,F40E3.7,F48C1.9,F48E3.2,F48E3.8,oac-31,dct-8,F57G8.7,ttr-45,K06A9.2,K07B1.8,K09D9.1,osm-3,M05B5.2,R05H10.1,R13H4.5,cgt-1,cyp-13A5,gem-4,T20B3.1,T20D4.12,T20D4.7,T23F11.6,T26E3.7,T28A11.3,W08A12.2,W09C5.12,Y102A11A.9,Y17G9A.4,vab-2,clp-4,pvf-1,Y41C4A.11,col-95,cpt-3,haf-7,Y53G8B.2,Y54G2A.36,Y58A7A.3,Y73C8B.1,Y73C8B.5,Y75B8A.28,ptr-22,Y95B8A.6,Y97E10AR.1,ZC443.3,fbxa-33,ZK1010.8,srt-22,ghi-1,tep-1"	http://www.ncbi.nlm.nih.gov/pubmed/25720978
