Category	Term	Counts	ListSize	PopHit	Pop Size	Pvalue	Bonferroni	FDR	OverlappedID	Refs
Mutants	Up in F1 set-9;set-26	219	182	5664	31146	0	0	0	col-145;col-145;col-145;B0280.7;B0280.7;B0280.7;nspb-10;nspb-10;nspb-10;C02E7.7;C02E7.7;C02E7.7;abu-8;abu-8;abu-8;C05E7.2;C05E7.2;C05E7.2;C06E8.5;C06E8.5;C06E8.5;gpx-5;gpx-5;gpx-5;C15A11.4;C15A11.4;C15A11.4;col-125;col-125;col-125;col-107;col-107;col-107;C42D4.3;C42D4.3;C42D4.3;col-14;col-14;col-14;col-161;col-161;col-161;dct-5;dct-5;dct-5;col-130;col-130;col-130;col-91;col-91;col-91;F10D11.6;F10D11.6;F10D11.6;col-12;col-12;col-12;col-13;col-13;col-13;pes-8;pes-8;pes-8;col-60;col-60;col-60;ram-2;ram-2;ram-2;F41F3.3;F41F3.3;F41F3.3;grl-4;grl-4;grl-4;F48G7.5;F48G7.5;F48G7.5;col-133;col-133;col-133;F53F1.4;F53F1.4;F53F1.4;cut-2;cut-2;cut-2;col-154;col-154;col-154;col-155;col-155;col-155;H10E21.4;H10E21.4;H10E21.4;K01D12.9;K01D12.9;K01D12.9;K02E11.10;K02E11.10;K02E11.10;tyr-2;tyr-2;tyr-2;col-49;col-49;col-49;K10H10.4;K10H10.4;K10H10.4;col-77;col-77;col-77;R07E5.4;R07E5.4;R07E5.4;lips-17;lips-17;lips-17;R12E2.14;R12E2.14;R12E2.14;R12E2.15;R12E2.15;R12E2.15;R12E2.7;R12E2.7;R12E2.7;R74.2;R74.2;R74.2;grd-14;grd-14;grd-14;tbb-6;tbb-6;tbb-6;phat-4;phat-4;phat-4;pqn-63;pqn-63;pqn-63;T06E4.12;T06E4.12;T06E4.12;T06E4.14;T06E4.14;T06E4.14;T06E4.8;T06E4.8;T06E4.8;T06E4.9;T06E4.9;T06E4.9;T10E9.3;T10E9.3;T10E9.3;col-157;col-157;col-157;grd-6;grd-6;grd-6;T21C9.9;T21C9.9;T21C9.9;toh-1;toh-1;toh-1;pqn-74;pqn-74;pqn-74;col-88;col-88;col-88;col-120;col-120;col-120;col-162;col-162;col-162;Y47D3B.6;Y47D3B.6;Y47D3B.6;Y47D7A.13;Y47D7A.13;Y47D7A.13;Y47D7A.15;Y47D7A.15;Y47D7A.15;col-137;col-137;col-137;Y51H7C.13;Y51H7C.13;Y51H7C.13;rol-1;rol-1;rol-1;grl-16;grl-16;grl-16;col-97;col-97;col-97;abu-14;abu-14;abu-14;ZK180.5;ZK180.5;ZK180.5;ZK180.6;ZK180.6;ZK180.6;col-63;col-63;col-63	https://pubmed.ncbi.nlm.nih.gov/29714684/
Mutants	Up in hyl-2 mutants fed a glucose diet	226	182	3802	31146	0	0	0	col-149;col-149;clec-52;clec-52;col-145;col-145;col-10;col-10;B0310.6;B0310.6;ttr-18;ttr-18;C02E7.6;C02E7.6;C02E7.7;C02E7.7;abu-8;abu-8;C04G6.2;C04G6.2;C05E7.2;C05E7.2;gpx-5;gpx-5;gpx-5;gpx-5;col-7;col-7;col-62;col-62;col-125;col-125;col-107;col-107;C39B5.5;C39B5.5;C42D4.3;C42D4.3;col-180;col-180;col-14;col-14;col-161;col-161;E01G4.6;E01G4.6;dct-5;dct-5;col-130;col-130;col-91;col-91;F10D11.6;F10D11.6;F15B9.8;F15B9.8;col-12;col-12;col-13;col-13;pes-8;pes-8;col-60;col-60;nlp-24;nlp-24;col-81;col-81;ram-2;ram-2;col-139;col-139;grl-4;grl-4;decr-1.1;decr-1.1;F48G7.5;F48G7.5;col-133;col-133;cut-2;cut-2;col-154;col-154;col-155;col-155;col-159;col-159;col-160;col-160;ttr-31;ttr-31;col-104;col-104;H10E21.4;H10E21.4;dpy-14;dpy-14;K01D12.9;K01D12.9;K02E11.10;K02E11.10;ttr-2;ttr-2;tyr-2;tyr-2;col-49;col-49;K10H10.4;K10H10.4;col-129;col-129;col-77;col-77;R12E2.14;R12E2.14;R12E2.15;R12E2.15;R12E2.7;R12E2.7;R74.2;R74.2;grd-14;grd-14;T01D1.3;T01D1.3;tbb-6;tbb-6;phat-4;phat-4;pqn-63;pqn-63;T06E4.12;T06E4.12;T06E4.14;T06E4.14;col-147;col-147;col-146;col-146;T06E4.8;T06E4.8;T06E4.9;T06E4.9;col-168;col-168;col-167;col-167;col-169;col-169;col-170;col-170;T10E9.3;T10E9.3;col-157;col-157;col-142;col-142;col-141;col-141;grd-6;grd-6;T19C3.2;T19C3.2;T21C9.9;T21C9.9;ptr-16;ptr-16;mup-2;mup-2;toh-1;toh-1;pqn-72;pqn-72;pqn-74;pqn-74;col-94;col-94;col-92;col-92;col-88;col-88;gln-3;gln-3;col-120;col-120;col-162;col-162;col-109;col-109;grsp-1;grsp-1;Y47D7A.13;Y47D7A.13;Y47D7A.15;Y47D7A.15;grl-5;grl-5;Y48G1BR.1;Y48G1BR.1;col-71;col-71;col-137;col-137;Y51H7C.13;Y51H7C.13;rol-1;rol-1;grl-16;grl-16;Y71H2AM.13;Y71H2AM.13;dao-4;dao-4;col-97;col-97;ZK180.5;ZK180.5;ZK180.6;ZK180.6;col-63;col-63;wrt-4;wrt-4;ZK84.1;ZK84.1	https://pubmed.ncbi.nlm.nih.gov/27507791/
Tissue	Up Day 2 Adult P-granule depleted  UNC-119::GFP(+)	214	182	15672	31146	0	0	0	B0034.7;B0034.7;clec-52;clec-52;col-145;col-145;col-10;col-10;B0280.7;B0280.7;ttr-18;ttr-18;C02E7.6;C02E7.6;C02E7.7;C02E7.7;C04G6.2;C04G6.2;C05E7.2;C05E7.2;C06A1.2;C06A1.2;doxa-1;doxa-1;col-125;col-125;col-107;col-107;C39B5.5;C39B5.5;C40A11.10;C40A11.10;C42D4.3;C42D4.3;col-180;col-180;C45B2.2;C45B2.2;col-14;col-14;col-130;col-130;col-91;col-91;ifb-1;ifb-1;F10D11.6;F10D11.6;ugt-41;ugt-41;F11E6.4;F11E6.4;F15B9.8;F15B9.8;col-12;col-12;col-13;col-13;F20D6.5;F20D6.5;chw-1;chw-1;ttm-2;ttm-2;F28H7.8;F28H7.8;nlp-24;nlp-24;F35H10.10;F35H10.10;col-81;col-81;ram-2;ram-2;F41F3.3;F41F3.3;col-139;col-139;grl-4;grl-4;sir-2.3;sir-2.3;F53F1.4;F53F1.4;cut-2;cut-2;col-154;col-154;col-155;col-155;col-121;col-121;ttr-31;ttr-31;arrd-10;arrd-10;H10E21.4;H10E21.4;ugt-13;ugt-13;dpy-14;dpy-14;K01D12.9;K01D12.9;nas-3;nas-3;tyr-2;tyr-2;K10H10.4;K10H10.4;col-129;col-129;R07E3.4;R07E3.4;R07E5.4;R07E5.4;R12E2.14;R12E2.14;R12E2.7;R12E2.7;grd-14;grd-14;T01D1.3;T01D1.3;tbb-6;tbb-6;phat-4;phat-4;T06E4.14;T06E4.14;col-147;col-147;col-146;col-146;col-168;col-168;col-167;col-167;col-169;col-169;col-170;col-170;T10E9.3;T10E9.3;T12A2.1;T12A2.1;col-142;col-142;col-141;col-141;grd-6;grd-6;T19C3.2;T19C3.2;T20D4.5;T20D4.5;T21C9.9;T21C9.9;ptr-16;ptr-16;hsp-12.1;hsp-12.1;mup-2;mup-2;toh-1;toh-1;pqn-74;pqn-74;col-94;col-94;col-92;col-92;ins-33;ins-33;gln-3;gln-3;Y37E11B.7;Y37E11B.7;col-109;col-109;Y41D4B.6;Y41D4B.6;lact-8;lact-8;clec-174;clec-174;Y47D3B.6;Y47D3B.6;Y47D7A.13;Y47D7A.13;Y51H7C.13;Y51H7C.13;col-48;col-48;Y58A7A.1;Y58A7A.1;grl-16;grl-16;hex-5;hex-5;Y71H2AM.13;Y71H2AM.13;col-97;col-97;abu-14;abu-14;ZK180.5;ZK180.5;ZK180.6;ZK180.6;col-63;col-63;ZK84.1;ZK84.1	https://pubmed.ncbi.nlm.nih.gov/28258184/
Mutants	Down youngadults vs gld1	144	182	411	31146	8.00E-242	2.40E-238	5.90E-239	col-149;col-149;col-149;col-145;col-145;col-145;C02E7.7;C02E7.7;C02E7.7;col-39;col-39;col-39;col-7;col-7;col-7;col-62;col-62;col-62;col-125;col-125;col-125;C39B5.5;C39B5.5;C39B5.5;col-180;col-180;col-180;col-14;col-14;col-14;col-161;col-161;col-161;E01G4.6;E01G4.6;E01G4.6;col-130;col-130;col-130;col-91;col-91;col-91;col-12;col-12;col-12;col-13;col-13;col-13;col-60;col-60;col-60;nlp-24;nlp-24;nlp-24;col-81;col-81;col-81;ram-2;ram-2;ram-2;F41F3.3;F41F3.3;F41F3.3;col-139;col-139;col-139;col-133;col-133;col-133;F53F1.4;F53F1.4;F53F1.4;col-159;col-159;col-159;col-160;col-160;col-160;col-104;col-104;col-104;col-49;col-49;col-49;col-129;col-129;col-129;col-77;col-77;col-77;col-147;col-147;col-147;col-146;col-146;col-146;col-167;col-167;col-167;col-142;col-142;col-142;col-94;col-94;col-94;col-92;col-92;col-92;col-88;col-88;col-88;col-120;col-120;col-120;col-162;col-162;col-162;Y47D7A.13;Y47D7A.13;Y47D7A.13;Y47D7A.15;Y47D7A.15;Y47D7A.15;col-137;col-137;col-137;Y51H7C.13;Y51H7C.13;Y51H7C.13;rol-1;rol-1;rol-1;grl-16;grl-16;grl-16;bli-6;bli-6;bli-6;col-97;col-97;col-97;col-63;col-63;col-63	NULL
Mutants	Up in alg-2(ok304)	158	182	668	31146	8.10E-241	2.40E-237	4.80E-238	B0222.5;B0222.5;col-145;col-145;col-10;col-10;nspb-10;nspb-10;C02E7.6;C02E7.6;C02E7.7;C02E7.7;abu-8;abu-8;C05E7.2;C05E7.2;doxa-1;doxa-1;C06E8.5;C06E8.5;col-39;col-39;gpx-5;gpx-5;col-125;col-125;col-107;col-107;C42D4.3;C42D4.3;col-180;col-180;col-161;col-161;dct-5;dct-5;col-130;col-130;col-91;col-91;F10D11.6;F10D11.6;col-12;col-12;col-13;col-13;F28H7.8;F28H7.8;nlp-24;nlp-24;col-81;col-81;ram-2;ram-2;F41F3.3;F41F3.3;col-139;col-139;grl-4;grl-4;decr-1.1;decr-1.1;F48G7.5;F48G7.5;col-133;col-133;F53F1.4;F53F1.4;cut-2;cut-2;col-154;col-154;col-155;col-155;col-159;col-159;col-160;col-160;H10E21.4;H10E21.4;ugt-13;ugt-13;K01D12.9;K01D12.9;tyr-2;tyr-2;K10H10.4;K10H10.4;col-129;col-129;R07E5.4;R07E5.4;lips-17;lips-17;R12E2.14;R12E2.14;R12E2.15;R12E2.15;R12E2.7;R12E2.7;grd-14;grd-14;pqn-63;pqn-63;T06E4.12;T06E4.12;col-147;col-147;col-146;col-146;T06E4.8;T06E4.8;T06E4.9;T06E4.9;col-168;col-168;col-167;col-167;col-169;col-169;col-170;col-170;T10E9.3;T10E9.3;col-157;col-157;col-142;col-142;grd-6;grd-6;T21C9.9;T21C9.9;toh-1;toh-1;W01A8.6;W01A8.6;pqn-72;pqn-72;pqn-74;pqn-74;col-94;col-94;col-92;col-92;grd-13;grd-13;col-162;col-162;Y47D3B.6;Y47D3B.6;Y47D7A.13;Y47D7A.13;grl-16;grl-16;abu-14;abu-14;ZK180.5;ZK180.5	https://pubmed.ncbi.nlm.nih.gov/28645154/
Mutants	Up in lin-13	158	182	1382	31146	7.80E-187	2.30E-183	3.80E-184	col-145;col-145;col-10;col-10;B0280.7;B0280.7;C02E7.6;C02E7.6;C02E7.7;C02E7.7;abu-8;abu-8;C04G6.2;C04G6.2;C06E8.5;C06E8.5;col-7;col-7;col-62;col-62;col-125;col-125;col-107;col-107;C42D4.3;C42D4.3;col-180;col-180;col-14;col-14;col-161;col-161;E01G4.6;E01G4.6;dct-5;dct-5;col-130;col-130;col-91;col-91;F10D11.6;F10D11.6;F15B9.8;F15B9.8;col-12;col-12;col-13;col-13;pes-8;pes-8;col-60;col-60;ram-2;ram-2;F41F3.3;F41F3.3;F48G7.5;F48G7.5;col-133;col-133;F53B1.4;F53B1.4;F53F1.4;F53F1.4;cut-2;cut-2;col-154;col-154;col-104;col-104;H10E21.4;H10E21.4;K02E11.10;K02E11.10;col-49;col-49;K10H10.4;K10H10.4;col-77;col-77;R12E2.14;R12E2.14;R12E2.15;R12E2.15;R12E2.7;R12E2.7;R74.2;R74.2;grd-14;grd-14;pqn-63;pqn-63;T06E4.12;T06E4.12;T06E4.8;T06E4.8;col-168;col-168;col-167;col-167;col-169;col-169;col-170;col-170;T10E9.3;T10E9.3;T19C3.2;T19C3.2;T20D4.5;T20D4.5;T21C9.9;T21C9.9;col-88;col-88;col-120;col-120;col-162;col-162;col-109;col-109;Y47D3B.6;Y47D3B.6;Y47D7A.13;Y47D7A.13;Y47D7A.15;Y47D7A.15;grl-5;grl-5;col-71;col-71;col-137;col-137;Y51H7C.13;Y51H7C.13;col-48;col-48;rol-1;rol-1;grl-16;grl-16;bli-6;bli-6;dao-4;dao-4;col-97;col-97;abu-14;abu-14;ZK180.5;ZK180.5;ZK180.6;ZK180.6;col-63;col-63;wrt-4;wrt-4;ZK84.1;ZK84.1	https://pubmed.ncbi.nlm.nih.gov/28294943/
Mutants	Up in alg-1(gk214)	138	182	750	31146	2.10E-185	6.10E-182	8.80E-183	B0222.5;B0222.5;col-10;col-10;nspb-10;nspb-10;C02E7.7;C02E7.7;abu-8;abu-8;C05E7.2;C05E7.2;doxa-1;doxa-1;C06E8.5;C06E8.5;col-39;col-39;gpx-5;gpx-5;col-125;col-125;col-107;col-107;C42D4.3;C42D4.3;col-180;col-180;col-161;col-161;dct-5;dct-5;col-130;col-130;col-91;col-91;F10D11.6;F10D11.6;col-12;col-12;col-13;col-13;F28H7.8;F28H7.8;col-81;col-81;ram-2;ram-2;col-139;col-139;grl-4;grl-4;F48G7.5;F48G7.5;F53F1.4;F53F1.4;cut-2;cut-2;col-154;col-154;col-155;col-155;col-159;col-159;col-160;col-160;H10E21.4;H10E21.4;ugt-13;ugt-13;K01D12.9;K01D12.9;tyr-2;tyr-2;K10H10.4;K10H10.4;col-129;col-129;R07E5.4;R07E5.4;lips-17;lips-17;R12E2.14;R12E2.14;R12E2.7;R12E2.7;grd-14;grd-14;pqn-63;pqn-63;T06E4.12;T06E4.12;col-147;col-147;col-146;col-146;T06E4.8;T06E4.8;col-168;col-168;col-167;col-167;col-169;col-169;T10E9.3;T10E9.3;col-142;col-142;col-141;col-141;grd-6;grd-6;T21C9.9;T21C9.9;toh-1;toh-1;W01A8.6;W01A8.6;pqn-72;pqn-72;pqn-74;pqn-74;col-94;col-94;col-92;col-92;grd-13;grd-13;col-162;col-162;Y47D3B.6;Y47D3B.6;Y47D7A.13;Y47D7A.13;abu-14;abu-14;ZK180.5;ZK180.5	https://pubmed.ncbi.nlm.nih.gov/28645154/
Microbes	Down by Clostridium butyricum CBM588 	110	182	560	31146	3.30E-144	9.60E-141	1.20E-141	col-149;col-149;clec-52;clec-52;col-10;col-10;C02E7.6;C02E7.6;abu-8;abu-8;col-39;col-39;col-7;col-7;col-62;col-62;col-125;col-125;col-107;col-107;col-180;col-180;col-161;col-161;E01G4.6;E01G4.6;col-91;col-91;F15B9.8;F15B9.8;F15E11.1;F15E11.1;col-12;col-12;col-13;col-13;col-81;col-81;ram-2;ram-2;F41F3.3;F41F3.3;col-139;col-139;col-133;col-133;col-121;col-121;col-159;col-159;col-160;col-160;H10E21.4;H10E21.4;K01D12.9;K01D12.9;K02E11.10;K02E11.10;col-49;col-49;K10H10.4;K10H10.4;col-129;col-129;col-77;col-77;R12E2.15;R12E2.15;phat-4;phat-4;T06E4.12;T06E4.12;T06E4.14;T06E4.14;col-147;col-147;col-146;col-146;col-168;col-168;col-167;col-167;col-169;col-169;col-170;col-170;col-142;col-142;col-94;col-94;col-92;col-92;grd-13;grd-13;col-120;col-120;Y47D7A.13;Y47D7A.13;Y47D7A.15;Y47D7A.15;rol-1;rol-1;grl-16;grl-16;bli-6;bli-6;col-63;col-63;wrt-4;wrt-4	https://pubmed.ncbi.nlm.nih.gov/30563064/
Microbes	Down in clec-4(ok2050) 12h on non-pathogenic B. thuringiensis 407	84	182	281	31146	2.80E-123	8.40E-120	9.30E-121	col-149;col-145;col-10;B0280.7;B0310.6;C02E7.6;C02E7.7;abu-8;C04G6.2;C05E7.2;C06E8.5;col-39;col-7;col-62;col-125;col-107;C39B5.5;C42D4.3;col-180;C45B2.2;col-14;col-161;E01G4.6;col-130;col-91;F15B9.8;col-12;col-13;col-60;ram-2;F41F3.3;decr-1.1;F48G7.5;col-133;cut-2;col-154;col-104;H10E21.4;K01D12.9;K02E11.10;col-49;K10H10.4;col-77;R12E2.14;R12E2.15;R12E2.7;grd-14;phat-4;T06E4.12;T06E4.14;col-147;col-146;T06E4.9;col-168;col-167;col-169;col-170;col-157;grd-6;T19C3.2;T21C9.9;col-92;col-88;col-120;col-162;col-109;Y47D7A.13;Y47D7A.15;grl-5;col-71;col-137;Y51H7C.13;col-48;rol-1;grl-16;bli-6;dao-4;col-97;abu-14;ZK180.5;ZK180.6;col-63;wrt-4;ZK84.1	https://journals.plos.org/plospathogens/article?id=10.1371/journal.ppat.1009454
Tissue	UP by GSC removal	146	182	2612	31146	5.60E-121	1.70E-117	1.70E-118	col-149;col-149;col-145;col-145;col-10;col-10;ttr-18;ttr-18;C05E7.2;C05E7.2;col-39;col-39;col-62;col-62;col-125;col-125;col-107;col-107;C39B5.5;C39B5.5;C42D4.3;C42D4.3;col-180;col-180;C45B2.2;C45B2.2;col-14;col-14;E01G4.6;E01G4.6;col-130;col-130;col-91;col-91;F10D11.6;F10D11.6;ugt-41;ugt-41;col-12;col-12;col-13;col-13;ttm-2;ttm-2;F28H7.8;F28H7.8;col-81;col-81;ram-2;ram-2;col-139;col-139;decr-1.1;decr-1.1;col-133;col-133;F53F1.4;F53F1.4;col-155;col-155;col-159;col-159;col-104;col-104;K02E11.10;K02E11.10;nas-3;nas-3;tyr-2;tyr-2;col-49;col-49;col-129;col-129;col-77;col-77;R07E3.4;R07E3.4;R07E5.4;R07E5.4;grd-14;grd-14;tbb-6;tbb-6;col-147;col-147;col-167;col-167;col-169;col-169;T10E9.3;T10E9.3;col-157;col-157;col-142;col-142;toh-1;toh-1;W01F3.1;W01F3.1;pqn-74;pqn-74;col-94;col-94;col-92;col-92;grd-13;grd-13;col-88;col-88;col-120;col-120;col-109;col-109;lact-8;lact-8;grsp-1;grsp-1;Y47D7A.13;Y47D7A.13;Y47D7A.15;Y47D7A.15;col-71;col-71;Y51H7C.13;Y51H7C.13;rol-1;rol-1;Y58A7A.1;Y58A7A.1;grl-16;grl-16;Y71H2AM.13;Y71H2AM.13;bli-6;bli-6;dao-4;dao-4;col-97;col-97;ZK180.6;ZK180.6;col-63;col-63;ZK84.1;ZK84.1	https://pubmed.ncbi.nlm.nih.gov/26196144/
